"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "549f00b0992a7743c2bc16ea6ce3db57" "site/built/CODE_OF_CONDUCT.md" "2024-01-03"
"LICENSE.md" "14377518ee654005a18cf28549eb30e3" "site/built/LICENSE.md" "2024-01-03"
"config.yaml" "5981e19674c8af23fe1d7a99f7792e41" "site/built/config.yaml" "2024-01-11"
"index.md" "7b3153b8dd51fd1137db7105d0619e94" "site/built/index.md" "2024-01-03"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2024-01-03"
"episodes/ZIKAB.Rmd" "ba0b17aa1c31ca2f0ff70c2f40de2f7f" "site/built/ZIKAB.md" "2024-01-11"
"episodes/TallerIntroAnaliticaBrotes.Rmd" "7a752d2bc74bf8751fe63e0eacfe70a7" "site/built/TallerIntroAnaliticaBrotes.md" "2024-01-11"
"episodes/Serofoi-tutorial.Rmd" "ba357c028f5f784330c3b1192c08cc83" "site/built/Serofoi-tutorial.md" "2024-01-11"
"episodes/Vaccineff-tutorial.Rmd" "7b1278d534f5a9f7be58434a972f7821" "site/built/Vaccineff-tutorial.md" "2024-01-11"
"instructors/instructor-notes.md" "5cf113fd22defb29d17b64597f3c9bc0" "site/built/instructor-notes.md" "2024-01-03"
"learners/reference.md" "4ad011879cd769a94de8888721042ec2" "site/built/reference.md" "2024-01-03"
"learners/setup.md" "f074dd17e6367e4430e832c3cfb10343" "site/built/setup.md" "2024-01-11"
"profiles/learner-profiles.md" "5fe5bf7537072422b91ed393ada03f9a" "site/built/learner-profiles.md" "2024-01-03"
"renv/profiles/lesson-requirements/renv.lock" "cb2b57752f35b1f6a85c05f8605a4772" "site/built/renv.lock" "2024-01-03"
